We are writingRTC is not running
Initialized
Temp: 26.47, Pressure:101006.36, Altitude(BMP,m):126.94,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469232,Longitude:-736939577,Altitude(GPS,m):13,Time:15:57:14

Temp: 26.47, Pressure:101007.02, Altitude(BMP,m):126.89,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469215,Longitude:-736939565,Altitude(GPS,m):13,Time:15:57:16

Temp: 26.47, Pressure:101007.69, Altitude(BMP,m):126.83,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469202,Longitude:-736939557,Altitude(GPS,m):13,Time:15:57:18

Temp: 26.47, Pressure:101008.69, Altitude(BMP,m):126.75,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469172,Longitude:-736939543,Altitude(GPS,m):13,Time:15:57:20

Temp: 26.47, Pressure:101009.34, Altitude(BMP,m):126.69,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469151,Longitude:-736939532,Altitude(GPS,m):13,Time:15:57:22

Temp: 26.47, Pressure:101009.52, Altitude(BMP,m):126.68,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469138,Longitude:-736939525,Altitude(GPS,m):13,Time:15:57:24

Temp: 26.47, Pressure:101009.52, Altitude(BMP,m):126.68,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469137,Longitude:-736939520,Altitude(GPS,m):13,Time:15:57:26

Temp: 26.47, Pressure:101009.52, Altitude(BMP,m):126.68,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469129,Longitude:-736939519,Altitude(GPS,m):13,Time:15:57:28

Temp: 26.47, Pressure:101009.34, Altitude(BMP,m):126.69,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469126,Longitude:-736939521,Altitude(GPS,m):13,Time:15:57:30

Temp: 26.47, Pressure:101009.34, Altitude(BMP,m):126.69,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469125,Longitude:-736939524,Altitude(GPS,m):14,Time:15:57:32

Temp: 26.47, Pressure:101010.27, Altitude(BMP,m):126.62,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469125,Longitude:-736939530,Altitude(GPS,m):13,Time:15:57:34

Temp: 26.47, Pressure:101010.77, Altitude(BMP,m):126.57,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469128,Longitude:-736939533,Altitude(GPS,m):13,Time:15:57:36

Temp: 26.47, Pressure:101011.44, Altitude(BMP,m):126.52,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469134,Longitude:-736939536,Altitude(GPS,m):13,Time:15:57:38

Temp: 26.47, Pressure:101011.77, Altitude(BMP,m):126.49,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469139,Longitude:-736939543,Altitude(GPS,m):13,Time:15:57:40

Temp: 26.47, Pressure:101011.94, Altitude(BMP,m):126.48,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469147,Longitude:-736939554,Altitude(GPS,m):13,Time:15:57:42

Temp: 26.47, Pressure:101011.60, Altitude(BMP,m):126.50,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469147,Longitude:-736939563,Altitude(GPS,m):13,Time:15:57:44

Temp: 26.47, Pressure:101011.36, Altitude(BMP,m):126.52,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469156,Longitude:-736939575,Altitude(GPS,m):13,Time:15:57:46

Temp: 26.47, Pressure:101010.87, Altitude(BMP,m):126.57,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469165,Longitude:-736939586,Altitude(GPS,m):13,Time:15:57:48

Temp: 26.47, Pressure:101011.03, Altitude(BMP,m):126.55,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469165,Longitude:-736939595,Altitude(GPS,m):13,Time:15:57:50

Temp: 26.47, Pressure:101011.20, Altitude(BMP,m):126.54,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469170,Longitude:-736939604,Altitude(GPS,m):13,Time:15:57:52

Temp: 26.48, Pressure:101011.62, Altitude(BMP,m):126.50,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469187,Longitude:-736939617,Altitude(GPS,m):12,Time:15:57:54

Temp: 26.48, Pressure:101010.62, Altitude(BMP,m):126.59,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469203,Longitude:-736939623,Altitude(GPS,m):13,Time:15:57:56

